epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7421,0.62531,3.09001,1.06633,0.00457,0.95,0.47568,0.43225,0.18591,2.99653,0.66435,6.668e-05,6.668e-05,6.668e-05
2,22.2891,0.52843,2.84739,1.02156,0.00487,1,0.80103,0.73909,0.22224,2.97058,0.66806,0.00014904,0.00014904,0.00014904
3,32.4816,0.55638,2.42188,1.02672,0.00489,1,0.80506,0.72711,0.26675,2.94087,0.67685,0.000230299,0.000230299,0.000230299
4,42.501,0.53227,1.77041,1.00391,0.00489,1,0.82344,0.68935,0.30919,2.90116,0.70035,0.000310459,0.000310459,0.000310459
5,52.5955,0.50227,1.47183,0.94889,0.00478,0.975,0.74133,0.64972,0.34634,2.89185,0.71094,0.000389518,0.000389518,0.000389518
6,62.6781,0.63853,1.48625,1.05238,0.00474,0.975,0.73452,0.64209,0.36955,2.92295,0.72036,0.000467477,0.000467477,0.000467477
7,72.7102,0.48444,1.19305,0.95979,0.00472,0.975,0.70377,0.60069,0.40994,2.88455,0.73993,0.000544336,0.000544336,0.000544336
8,82.7995,0.46003,1.14338,0.9373,0.00486,1,0.75384,0.6655,0.36987,2.84561,0.73676,0.000620094,0.000620094,0.000620094
9,92.7789,0.54303,1.1314,0.96322,0.85041,0.64953,0.73489,0.65947,0.39072,2.74643,0.73776,0.000694752,0.000694752,0.000694752
10,102.751,0.54381,1.06607,0.99025,1,0.61641,0.74445,0.68699,0.41159,2.76418,0.75831,0.00076831,0.00076831,0.00076831
11,112.707,0.58852,1.08194,0.99334,1,0.18898,0.63734,0.52473,0.56036,2.78303,0.87964,0.000840768,0.000840768,0.000840768
12,122.62,0.56853,1.13581,1.00204,0.92465,0.40647,0.6343,0.5514,0.56038,2.60955,0.8968,0.000912126,0.000912126,0.000912126
13,132.507,0.49492,1.04941,0.93839,0.92843,0.48161,0.6512,0.56325,0.58268,2.449,0.89145,0.000982383,0.000982383,0.000982383
14,142.474,0.5886,1.0901,1.04117,0.99014,0.6444,0.73394,0.68157,0.42862,2.22692,0.75851,0.00105154,0.00105154,0.00105154
15,153.034,0.62656,1.10527,0.99555,0.93627,0.65503,0.73714,0.66346,0.42062,2.21983,0.76031,0.0011196,0.0011196,0.0011196
16,163.446,0.57357,1.03663,0.96948,0.94016,0.6648,0.73488,0.62455,0.54131,2.16976,0.85887,0.00118655,0.00118655,0.00118655
17,174.006,0.56129,0.96738,0.94993,0.86626,0.675,0.75728,0.68886,0.44728,1.94113,0.76113,0.00125241,0.00125241,0.00125241
18,184.373,0.55383,0.94729,0.93665,0.78516,0.63538,0.74207,0.60061,0.52652,2.00448,0.83937,0.00131717,0.00131717,0.00131717
19,194.499,0.63136,1.03076,1.02706,0.79167,0.64193,0.70139,0.5592,0.55815,2.04864,0.88586,0.00138082,0.00138082,0.00138082
20,205.008,0.60952,0.97055,1.0013,0.73211,0.62781,0.70706,0.60005,0.53621,1.96289,0.85252,0.00144338,0.00144338,0.00144338
21,215.237,0.65051,0.98656,1.0322,0.88653,0.67128,0.78027,0.65037,0.58432,1.51699,0.84374,0.00144696,0.00144696,0.00144696
22,225.381,0.57191,0.92457,0.97584,0.91406,0.75,0.82131,0.70315,0.47376,1.2061,0.79232,0.00143595,0.00143595,0.00143595
23,235.37,0.55927,0.89558,0.97987,0.94335,0.74712,0.82504,0.71008,0.4506,1.09002,0.76797,0.00142495,0.00142495,0.00142495
24,245.39,0.5847,0.8921,0.99005,0.98519,0.74555,0.79542,0.72631,0.416,1.17438,0.72726,0.00141395,0.00141395,0.00141395
25,255.498,0.5329,0.87622,0.93687,0.98721,0.74788,0.81551,0.72602,0.40579,0.9937,0.71353,0.00140295,0.00140295,0.00140295
26,266.892,0.52052,0.81831,0.91981,0.99215,0.75,0.79125,0.70397,0.40879,0.95058,0.72879,0.00139195,0.00139195,0.00139195
27,277.254,0.51661,0.84857,0.95754,0.98932,0.74886,0.78309,0.69549,0.41137,0.95857,0.7383,0.00138094,0.00138094,0.00138094
