epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1788,0.62531,3.09001,1.06633,0.00457,0.95,0.47568,0.43225,0.18591,2.99653,0.66435,6.668e-05,6.668e-05,6.668e-05
2,23.0089,0.53034,2.84767,1.0218,0.00487,1,0.79604,0.73644,0.22258,2.97091,0.66801,0.000147059,0.000147059,0.000147059
3,33.4692,0.5482,2.42851,1.0228,0.00488,1,0.78645,0.70761,0.26137,2.91924,0.66747,0.000224138,0.000224138,0.000224138
4,43.312,0.53657,1.78869,0.99852,0.0049,1,0.81403,0.71496,0.29487,2.88029,0.69244,0.000297916,0.000297916,0.000297916
5,53.1291,0.49353,1.45774,0.94661,0.00492,1,0.79962,0.70995,0.32704,2.85322,0.68906,0.000368394,0.000368394,0.000368394
6,63.194,0.61598,1.49011,1.04708,0.00491,1,0.78919,0.6993,0.3065,2.86681,0.68453,0.00043557,0.00043557,0.00043557
7,73.0264,0.4577,1.1982,0.94699,0.00486,1,0.80539,0.72053,0.31837,2.84452,0.6992,0.000499447,0.000499447,0.000499447
8,82.7843,0.43873,1.12541,0.92729,0.00472,0.975,0.80705,0.74784,0.31412,2.74798,0.69452,0.000560022,0.000560022,0.000560022
9,92.7834,0.54529,1.14148,0.98015,0.84899,0.57177,0.75189,0.59854,0.43195,2.76703,0.73967,0.000617297,0.000617297,0.000617297
10,102.659,0.56091,1.09917,1.0103,1,0.5072,0.80753,0.68581,0.42423,2.70705,0.74208,0.000671271,0.000671271,0.000671271
11,112.686,0.56586,1.08481,0.99554,1,0.42839,0.79363,0.72375,0.32799,2.66899,0.70664,0.000721944,0.000721944,0.000721944
12,122.986,0.59427,1.17898,1.01885,1,0.23205,0.72373,0.63532,0.36041,2.72753,0.7232,0.000769317,0.000769317,0.000769317
13,132.866,0.45183,1.01566,0.91338,1,0.34743,0.75135,0.66092,0.36236,2.54914,0.71715,0.000813389,0.000813389,0.000813389
14,142.827,0.5309,1.03356,1.00636,0.98248,0.68406,0.7718,0.69956,0.38923,2.15559,0.72001,0.000854161,0.000854161,0.000854161
15,152.789,0.56881,1.05639,1.0132,0.92282,0.65,0.78022,0.70906,0.35819,2.09509,0.71159,0.000891632,0.000891632,0.000891632
16,162.617,0.54984,1.04398,0.96293,0.90086,0.675,0.78652,0.70511,0.38179,2.08085,0.71953,0.000925802,0.000925802,0.000925802
17,172.413,0.50386,0.93706,0.9382,0.97036,0.71736,0.78831,0.71214,0.39966,1.85079,0.72113,0.000956671,0.000956671,0.000956671
18,182.247,0.50263,0.91022,0.92543,0.96259,0.73257,0.80123,0.73217,0.4031,1.68916,0.72573,0.00098424,0.00098424,0.00098424
19,192.187,0.5437,0.9743,0.98499,0.9672,0.74081,0.77064,0.72492,0.38081,1.56797,0.73349,0.00100851,0.00100851,0.00100851
20,202.193,0.54836,0.90821,0.9872,0.97054,0.72475,0.7791,0.72595,0.3689,1.54875,0.73675,0.00102948,0.00102948,0.00102948
21,211.911,0.54306,0.92708,1.01955,0.96544,0.75,0.77775,0.71878,0.39224,1.3246,0.74326,0.00100687,0.00100687,0.00100687
22,221.805,0.5015,0.86147,0.934,0.96828,0.75,0.76348,0.70345,0.39244,1.15575,0.74032,0.000973861,0.000973861,0.000973861
23,231.621,0.49949,0.85171,0.93691,0.96591,0.75,0.76507,0.72722,0.35332,1.13289,0.72531,0.000940855,0.000940855,0.000940855
24,241.378,0.52294,0.82493,0.9649,0.93584,0.75,0.78684,0.72639,0.36125,1.14308,0.73159,0.000907848,0.000907848,0.000907848
25,251.254,0.50514,0.8551,0.93865,0.95629,0.75,0.80634,0.70844,0.3648,1.0464,0.73664,0.000874842,0.000874842,0.000874842
26,260.957,0.45621,0.80528,0.89873,0.95086,0.74534,0.77656,0.717,0.31789,0.98876,0.72517,0.000841835,0.000841835,0.000841835
27,270.755,0.43709,0.79095,0.92697,0.93323,0.75,0.79221,0.70903,0.30769,0.91724,0.71499,0.000808828,0.000808828,0.000808828
28,280.437,0.52838,0.84865,1.00888,0.9817,0.74704,0.79248,0.70623,0.33385,0.92473,0.70847,0.000775822,0.000775822,0.000775822
29,290.326,0.5155,0.79558,0.9722,1,0.76242,0.82134,0.71245,0.30125,0.88198,0.70888,0.000742815,0.000742815,0.000742815
30,300.077,0.37745,0.72238,0.86548,0.98947,0.7,0.76652,0.70242,0.30014,0.86181,0.7094,0.000709809,0.000709809,0.000709809
